                           1                            2                            3                            4                            5                            6                            7 
              version_number                     compiler                        build             MESA_SDK_version                         date                    burn_min1                    burn_min2 
                       11701                   "gfortran"                      "8.3.0"      "x86_64-linux-20190503"                   "20191116"      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126                                      127                                      128                                      129                                      130                                      131                                      132                                      133                                      134                                      135                                      136                                      137                                      138                                      139                                      140                                      141                                      142                                      143                                      144                                      145                                      146                                      147                                      148                                      149                                      150                                      151                                      152                                      153                                      154                                      155                                      156                                      157                                      158                                      159                                      160                                      161                                      162                                      163                                      164                                      165                                      166                                      167                                      168                                      169                                      170                                      171                                      172                                      173                                      174                                      175                                      176                                      177                                      178                                      179                                      180                                      181                                      182                                      183                                      184                                      185                                      186                                      187                                      188                                      189                                      190                                      191                                      192 
                            model_number                                 star_age                                star_mass                              effective_T                            photosphere_L                            photosphere_r                               luminosity                                   radius                                  gravity                                 center_T                               center_Rho                                 center_P                        center_degeneracy                                center_mu                                center_ye                                center_h1                                center_h2                               center_he3                               center_he4                               center_li7                               center_be7                                center_b8                               center_c12                               center_n14                               center_o16                              center_ne20                              center_mg24                               surface_h1                               surface_h2                              surface_he3                              surface_he4                              surface_li7                              surface_be7                               surface_b8                              surface_c12                              surface_n14                              surface_o16                             surface_ne20                             surface_mg24                           mass_conv_core                             he_core_mass                           he_core_radius                              c_core_mass                            c_core_radius                              o_core_mass                            o_core_radius                                   log_LH                                  log_LHe                                   log_LZ                              log_extra_L                                 log_Lneu                            log_abs_Lgrav                                       pp                                      cno                                 tri_alfa                                   burn_c                                   burn_n                                   burn_o                                max_eps_h                              max_eps_h_m                            max_eps_h_lgR                               max_eps_he                             max_eps_he_m                           max_eps_he_lgR                                max_eps_z                              max_eps_z_m                            max_eps_z_lgR                                 delta_nu                                 delta_Pg                                   nu_max                                    log_L                                    max_T                                max_T_lgT                               max_T_mass                             max_T_radius                              max_T_lgRho                                max_T_lgP                            max_T_entropy                                  max_T_L                            max_T_eps_nuc                               mix_type_1                               mix_qtop_1                               mix_type_2                               mix_qtop_2                               mix_type_3                               mix_qtop_3                               mix_type_4                               mix_qtop_4                               mix_type_5                               mix_qtop_5                               mix_type_6                               mix_qtop_6                               mix_type_7                               mix_qtop_7                               mix_type_8                               mix_qtop_8                               mix_type_9                               mix_qtop_9                              mix_type_10                              mix_qtop_10                              mix_type_11                              mix_qtop_11                              mix_type_12                              mix_qtop_12                              mix_type_13                              mix_qtop_13                              mix_type_14                              mix_qtop_14                              mix_type_15                              mix_qtop_15                              mix_type_16                              mix_qtop_16                              mix_type_17                              mix_qtop_17                              mix_type_18                              mix_qtop_18                              mix_type_19                              mix_qtop_19                              mix_type_20                              mix_qtop_20                              burn_type_1                              burn_qtop_1                              burn_type_2                              burn_qtop_2                              burn_type_3                              burn_qtop_3                              burn_type_4                              burn_qtop_4                              burn_type_5                              burn_qtop_5                              burn_type_6                              burn_qtop_6                              burn_type_7                              burn_qtop_7                              burn_type_8                              burn_qtop_8                              burn_type_9                              burn_qtop_9                             burn_type_10                             burn_qtop_10                             burn_type_11                             burn_qtop_11                             burn_type_12                             burn_qtop_12                             burn_type_13                             burn_qtop_13                             burn_type_14                             burn_qtop_14                             burn_type_15                             burn_qtop_15                             burn_type_16                             burn_qtop_16                             burn_type_17                             burn_qtop_17                             burn_type_18                             burn_qtop_18                             burn_type_19                             burn_qtop_19                             burn_type_20                             burn_qtop_20                             burn_type_21                             burn_qtop_21                             burn_type_22                             burn_qtop_22                             burn_type_23                             burn_qtop_23                             burn_type_24                             burn_qtop_24                             burn_type_25                             burn_qtop_25                             burn_type_26                             burn_qtop_26                             burn_type_27                             burn_qtop_27                             burn_type_28                             burn_qtop_28                             burn_type_29                             burn_qtop_29                             burn_type_30                             burn_qtop_30                               burn2_top1                               burn2_bot1                               burn2_top2                               burn2_bot2                               burn2_top3                               burn2_bot3                               burn2_top4                               burn2_bot4                                 coupling                          strong_coupling                           k_inner_strong                           k_outer_strong 
                                   15338                  4.0178298807699957E+009                  1.5000000000000000E+000                  4.3931994528217028E+003                  5.0169413438940182E+001                  1.2243807883690353E+001                  5.0169413439584709E+001                  1.2334718347879303E+001                  2.7022289226303428E+002                  8.3081230932821691E+007                  2.8420929992996626E+004                  1.8196065439657548E+020                  1.5886561595468003E+000                  1.3456591065877184E+000                  5.0000000000000011E-001                  0.0000000000000000E+000                  2.6220307312127350E-022                  0.0000000000000000E+000                  9.6371343312724855E-001                  2.4114635647340074E-024                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4386555708310246E-004                  1.8630363564514377E-002                  4.8227819010532164E-003                  3.4819205019833558E-003                  9.2076353481174381E-003                  6.6537507499083159E-001                  2.1684359115381198E-017                  5.9596661541299592E-004                  2.9753232652692241E-001                  7.6185923091946632E-018                  1.3978670102055847E-032                  4.7193862145364959E-099                  4.7208790815959955E-003                  3.8429539069310646E-003                  1.5521399507769500E-002                  3.4050165983479787E-003                  9.0063827721885426E-003                  0.0000000000000000E+000                  4.6130954747891190E-001                  6.3025978313461281E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5271121019052341E+000                  1.3536827259938842E+000                  4.4767262877623570E-001                 -9.8999999999999986E+001                  3.6970793868363755E-001                  9.4709558983496889E-001                 -3.3512248937047595E-001                  1.5211066041538355E+000                  1.3536827259938842E+000                 -4.9070236169470932E-001                  3.9449527106068288E-001                 -7.7174541043912903E+000                  2.1906823817280652E+004                  4.6298761238084091E-001                  9.6532666801490521E+000                  9.8348633253918651E+003                  9.1061924556121361E-005                  8.0927404533599177E+000                  1.6703974219365664E+003                  9.1061924556121361E-005                  8.0927404533599177E+000                  3.8573210769604072E+000                  2.4476852896521464E+002                  3.5569737750775943E+001                  1.7004390234626563E+000                  1.1732676232586890E+008                  8.0693970863249938E+000                  1.3720392569740189E-004                  2.0433085489607486E-003                  4.3506019474451634E+000                  2.0256673156074367E+001                  5.0609976587116936E+000                  1.1153894707520358E-001                  1.0678432985045440E+004                                        0                  8.4124488433519551E-005                                        1                  1.0091062808485771E-001                                        0                  4.1551599528367694E-001                                        3                  4.2734498845371888E-001                                        1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        0                  1.7480730760613875E-007                                        1                  3.6364336810973141E-007                                        2                  1.0552593881247556E-006                                        3                  4.8382583568763852E-006                                        4                  4.4692876748496542E-005                                        5                  1.6185299998559090E-004                                        4                  8.1283166793780816E-003                                        3                  1.9959696724131441E-002                                        2                  3.3262770387277429E-002                                        1                  4.7316178718552260E-002                                        0                  3.0645468841101836E-001                                        1                  3.0655612684840117E-001                                        2                  3.0667916144667712E-001                                        3                  3.0676202875159692E-001                                        2                  3.0693068841429733E-001                                        3                  3.0743665632526879E-001                                        4                  3.0815424406663233E-001                                        5                  3.0981535384428310E-001                                        4                  3.1264743824593605E-001                                        3                  3.1554268376290134E-001                                        2                  3.2295715551097764E-001                                        1                  3.3011757159283250E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  4.6897115736890405E-001                  4.6114427117608786E-001                  1.2135636046462613E-002                  7.3981349970249927E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1703023337317391E-001                  1.3244655689802687E-001                  9.4700000000000000E+002                  9.1800000000000000E+002 
                                   15357                  4.0178325572389617E+009                  1.5000000000000000E+000                  4.3939011859748935E+003                  5.0061667916256255E+001                  1.2226746900126354E+001                  5.0061667916876722E+001                  1.2317403976725757E+001                  2.7098312191418893E+002                  1.1759736663396037E+008                  2.2307382465792445E+004                  1.8128529307335786E+020                  4.0738327737748037E-001                  1.3458831518007703E+000                  5.0000000000000011E-001                  0.0000000000000000E+000                  2.7756668566534221E-022                  0.0000000000000000E+000                  9.6298635167712487E-001                  2.4114374229391071E-024                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.4084492063159449E-004                  1.8559206102403188E-002                  4.8228411825982469E-003                  3.5832402926711604E-003                  9.2075158245709336E-003                  6.6537507523920336E-001                  2.1667520661394248E-017                  5.9596661509756258E-004                  2.9753232630044746E-001                  7.6185923043951456E-018                  1.4489280930723653E-032                  4.7194454047752798E-099                  4.7208790788348491E-003                  3.8429539046834016E-003                  1.5521399498691340E-002                  3.4050165962918959E-003                  9.0063827667501480E-003                  0.0000000000000000E+000                  4.6130954747891190E-001                  6.3035312120438322E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5276835716898123E+000                  1.3479111407669722E+000                  4.4166708925973985E-001                 -9.8999999999999986E+001                  3.7025714009196614E-001                  9.3795178478641361E-001                 -3.3416690027452411E-001                  1.5216727229772695E+000                  1.3479111407669722E+000                 -4.9151679885615202E-001                  3.8780896149138916E-001                 -7.7221779048262533E+000                  2.1912432541691756E+004                  4.6298761238084091E-001                  9.6533195912691472E+000                  1.1281334856713222E+004                  0.0000000000000000E+000                  7.1680774748177551E+000                  1.9718629611097549E+003                  0.0000000000000000E+000                  7.1680774748177551E+000                  3.8653975478445251E+000                  2.4510827306696319E+002                  3.5666225358437721E+001                  1.6995053150090949E+000                  1.1759736663396037E+008                  8.0703975966623585E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3484486134324492E+000                  2.0258362573008029E+001                  5.1479937042818014E+000                  0.0000000000000000E+000                  1.3253197817822977E+004                                        0                  6.0591716306696415E-006                                        1                  1.0079846380740898E-001                                        0                  4.1698820306842149E-001                                        3                  4.2752312134800885E-001                                        1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        5                  1.3220355361003697E-004                                        4                  8.0301974542943810E-003                                        3                  1.9844927353559767E-002                                        2                  3.3143725609785867E-002                                        1                  4.7197424248193329E-002                                        0                  3.0645443675407080E-001                                        1                  3.0655587876771218E-001                                        2                  3.0667871546357389E-001                                        3                  3.0676227535538908E-001                                        2                  3.0693035605867830E-001                                        3                  3.0743653976996449E-001                                        4                  3.0815458883762969E-001                                        5                  3.0986474024251026E-001                                        4                  3.1264743824593605E-001                                        3                  3.1554268376290134E-001                                        2                  3.2295715551097764E-001                                        1                  3.3014650955780883E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  4.6897115736890405E-001                  4.6114427117608786E-001                  1.2135636046462613E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1733043503498328E-001                  1.3262837847567688E-001                  9.4700000000000000E+002                  9.1800000000000000E+002 
                                   15367                  4.0178468420906792E+009                  1.5000000000000000E+000                  4.3973569188928595E+003                  4.9555656838891352E+001                  1.2145685192089891E+001                  4.9555656839401685E+001                  1.2235156624544878E+001                  2.7463858070667857E+002                  1.1734592772345942E+008                  2.2191129609275042E+004                  1.7859030651927937E+020                  4.0478760781926454E-001                  1.3572007564779698E+000                  5.0000000000000011E-001                  7.7818434449192514E-033                  5.9201163971819888E-021                  2.5223484441309053E-044                  9.2729897671493167E-001                  1.1259135843208546E-021                  3.7050445873321368E-034                  3.2219008254484240E-059                  3.3216677930469958E-002                  1.2580000256220773E-002                  4.0458735360246753E-003                  1.3679450787523761E-002                  9.1790207748292212E-003                  6.6537507658995376E-001                  2.1547394907020611E-017                  5.9596661338143708E-004                  2.9753232506863436E-001                  7.6185922780577856E-018                  1.8553323482059253E-032                  4.7194776778482281E-099                  4.7208790638294139E-003                  3.8429538924684720E-003                  1.5521399449356165E-002                  3.4050165851354799E-003                  9.0063827372410532E-003                  1.4779984562632015E-001                  4.6130954747891223E-001                  6.3077837003889456E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5313116854817477E+000                  1.3043659060604480E+000                  3.9183245591136201E-001                 -9.8999999999999986E+001                  3.7376433880589449E-001                  8.4710160380620803E-001                 -3.2913684003896526E-001                  1.5252812662320010E+000                  1.3043659060604480E+000                 -5.1681097613770954E-001                  3.3462808934855509E-001                 -7.7621058614614782E+000                  2.1978197467304246E+004                  4.6298761238084118E-001                  9.6535553615093317E+000                  9.2630657288811581E+003                  0.0000000000000000E+000                  7.1688338759736716E+000                  1.2348324830136444E+003                  0.0000000000000000E+000                  7.1688338759736716E+000                  3.9041592091357491E+000                  2.4632547711656724E+002                  3.6129690177559503E+001                  1.6950932369022671E+000                  1.1734592772345942E+008                  8.0694680227976932E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3461794099646989E+000                  2.0251857882663199E+001                  5.0680913635923970E+000                  0.0000000000000000E+000                  1.0497898211894802E+004                                        1                  9.8533230417546774E-002                                        3                  1.0230140072958085E-001                                        0                  4.1698820306842171E-001                                        3                  4.2839868463477154E-001                                        1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        5                  2.5181117061350503E-005                                        4                  7.5613355899026239E-003                                        3                  1.9271670769207879E-002                                        2                  3.2533323698992395E-002                                        1                  4.6566040287993951E-002                                        0                  3.0645046546925209E-001                                        1                  3.0652762337215961E-001                                        2                  3.0667602262835308E-001                                        3                  3.0676360713202705E-001                                        2                  3.0692794131581397E-001                                        3                  3.0743539405402459E-001                                        4                  3.0815564130257145E-001                                        5                  3.0986474024251048E-001                                        4                  3.1264743824593627E-001                                        3                  3.1559596917418992E-001                                        2                  3.2327899010991717E-001                                        1                  3.2496243262744645E-001                                        2                  3.2571597106138289E-001                                        1                  3.3029102218402928E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  4.6897115736890443E-001                  4.6114427117608819E-001                  1.1280767824955126E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1822018897936341E-001                  1.3549447960410235E-001                  9.4800000000000000E+002                  9.2000000000000000E+002 
                                   15377                  4.0179352901273446E+009                  1.5000000000000000E+000                  4.4093300535973622E+003                  4.7766599824935902E+001                  1.1859756803282195E+001                  4.7766599825138641E+001                  1.1945087498319126E+001                  2.8813893180910060E+002                  1.1622621942247960E+008                  2.1487595744003698E+004                  1.7095107223231132E+020                  3.8131676890908167E-001                  1.3574102428229988E+000                  5.0000000000000011E-001                  0.0000000000000000E+000                  5.9204548374598069E-021                  0.0000000000000000E+000                  9.2662782242136932E-001                  1.1260597635734271E-021                  6.5443910338913523E-033                  0.0000000000000000E+000                  3.3854254278262247E-002                  1.2537052197315669E-002                  4.0609436105489317E-003                  1.3740879157489084E-002                  9.1790483350148062E-003                  6.6537508510332422E-001                  2.1390352392143790E-017                  5.9596660256412270E-004                  2.9753231730485780E-001                  7.6185921093762807E-018                  2.2157868383616411E-032                  4.7195210615253834E-099                  4.7208789692101995E-003                  3.8429538154452561E-003                  1.5521399138265245E-002                  3.4050165148910546E-003                  9.0063825514422029E-003                  1.2104445339995691E-001                  4.6130954747891156E-001                  6.3278038939191594E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5441822420619129E+000                  1.1249160434383230E+000                  2.1357931027540841E-001                 -9.8999999999999986E+001                  3.8610977004575781E-001                  3.4112843455881814E-001                 -3.1208400623831628E-001                  1.5380930580599879E+000                  1.1249160434383230E+000                 -6.0975390669289742E-001                  1.4289658966854452E-001                 -7.8876187978387398E+000                  2.2113027394785993E+004                  4.6303137382830156E-001                  9.6550874867408041E+000                  6.2192856482054722E+003                  0.0000000000000000E+000                  7.1734977376885141E+000                  8.1181810891590339E+002                  0.0000000000000000E+000                  7.1734977376885141E+000                  4.0461956131819816E+000                  2.4491818081916259E+002                  3.7841318974492538E+001                  1.6791243279541559E+000                  1.1622621942247960E+008                  8.0653041114107360E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3321878248201751E+000                  2.0232871829105214E+001                  5.0785840730987122E+000                  0.0000000000000000E+000                  7.0311037571213756E+003                                        1                  8.0696302266637945E-002                                        3                  1.3818921600475756E-001                                        0                  4.2137881062539101E-001                                        3                  4.3205080982995003E-001                                        1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        4                  5.7256098212456873E-003                                        3                  1.6901783812208877E-002                                        2                  2.9909756243105080E-002                                        1                  4.3829745166184958E-002                                        0                  3.0638501819536856E-001                                        1                  3.0650986604802594E-001                                        2                  3.0666290645101918E-001                                        3                  3.0676886919370350E-001                                        2                  3.0691326547754166E-001                                        3                  3.0742835168357568E-001                                        4                  3.0814182375923577E-001                                        5                  3.0991412664073731E-001                                        4                  3.1275048918406251E-001                                        3                  3.1575960410381915E-001                                        2                  3.2709696281891526E-001                                        1                  3.3086035837067951E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  4.6912573377609379E-001                  4.6114427117608747E-001                  8.2768641802219954E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2201641581980399E-001                  1.6651528441397251E-001                  9.4600000000000000E+002                  9.1800000000000000E+002 
