                           1                            2                            3                            4                            5                            6                            7 
              version_number                     compiler                        build             MESA_SDK_version                         date                    burn_min1                    burn_min2 
                       11701                   "gfortran"                      "8.3.0"      "x86_64-linux-20190503"                   "20191115"      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126                                      127                                      128                                      129                                      130                                      131                                      132                                      133                                      134                                      135                                      136                                      137                                      138                                      139                                      140                                      141                                      142                                      143                                      144                                      145                                      146                                      147                                      148                                      149                                      150                                      151                                      152                                      153                                      154                                      155                                      156                                      157                                      158                                      159                                      160                                      161                                      162                                      163                                      164                                      165                                      166                                      167                                      168                                      169                                      170                                      171                                      172                                      173                                      174                                      175                                      176                                      177                                      178                                      179                                      180                                      181                                      182                                      183                                      184                                      185                                      186                                      187                                      188                                      189                                      190                                      191                                      192 
                            model_number                                 star_age                                star_mass                              effective_T                            photosphere_L                            photosphere_r                               luminosity                                   radius                                  gravity                                 center_T                               center_Rho                                 center_P                        center_degeneracy                                center_mu                                center_ye                                center_h1                                center_h2                               center_he3                               center_he4                               center_li7                               center_be7                                center_b8                               center_c12                               center_n14                               center_o16                              center_ne20                              center_mg24                               surface_h1                               surface_h2                              surface_he3                              surface_he4                              surface_li7                              surface_be7                               surface_b8                              surface_c12                              surface_n14                              surface_o16                             surface_ne20                             surface_mg24                           mass_conv_core                             he_core_mass                           he_core_radius                              c_core_mass                            c_core_radius                              o_core_mass                            o_core_radius                                   log_LH                                  log_LHe                                   log_LZ                              log_extra_L                                 log_Lneu                            log_abs_Lgrav                                       pp                                      cno                                 tri_alfa                                   burn_c                                   burn_n                                   burn_o                                max_eps_h                              max_eps_h_m                            max_eps_h_lgR                               max_eps_he                             max_eps_he_m                           max_eps_he_lgR                                max_eps_z                              max_eps_z_m                            max_eps_z_lgR                                 delta_nu                                 delta_Pg                                   nu_max                                    log_L                                    max_T                                max_T_lgT                               max_T_mass                             max_T_radius                              max_T_lgRho                                max_T_lgP                            max_T_entropy                                  max_T_L                            max_T_eps_nuc                               mix_type_1                               mix_qtop_1                               mix_type_2                               mix_qtop_2                               mix_type_3                               mix_qtop_3                               mix_type_4                               mix_qtop_4                               mix_type_5                               mix_qtop_5                               mix_type_6                               mix_qtop_6                               mix_type_7                               mix_qtop_7                               mix_type_8                               mix_qtop_8                               mix_type_9                               mix_qtop_9                              mix_type_10                              mix_qtop_10                              mix_type_11                              mix_qtop_11                              mix_type_12                              mix_qtop_12                              mix_type_13                              mix_qtop_13                              mix_type_14                              mix_qtop_14                              mix_type_15                              mix_qtop_15                              mix_type_16                              mix_qtop_16                              mix_type_17                              mix_qtop_17                              mix_type_18                              mix_qtop_18                              mix_type_19                              mix_qtop_19                              mix_type_20                              mix_qtop_20                              burn_type_1                              burn_qtop_1                              burn_type_2                              burn_qtop_2                              burn_type_3                              burn_qtop_3                              burn_type_4                              burn_qtop_4                              burn_type_5                              burn_qtop_5                              burn_type_6                              burn_qtop_6                              burn_type_7                              burn_qtop_7                              burn_type_8                              burn_qtop_8                              burn_type_9                              burn_qtop_9                             burn_type_10                             burn_qtop_10                             burn_type_11                             burn_qtop_11                             burn_type_12                             burn_qtop_12                             burn_type_13                             burn_qtop_13                             burn_type_14                             burn_qtop_14                             burn_type_15                             burn_qtop_15                             burn_type_16                             burn_qtop_16                             burn_type_17                             burn_qtop_17                             burn_type_18                             burn_qtop_18                             burn_type_19                             burn_qtop_19                             burn_type_20                             burn_qtop_20                             burn_type_21                             burn_qtop_21                             burn_type_22                             burn_qtop_22                             burn_type_23                             burn_qtop_23                             burn_type_24                             burn_qtop_24                             burn_type_25                             burn_qtop_25                             burn_type_26                             burn_qtop_26                             burn_type_27                             burn_qtop_27                             burn_type_28                             burn_qtop_28                             burn_type_29                             burn_qtop_29                             burn_type_30                             burn_qtop_30                               burn2_top1                               burn2_bot1                               burn2_top2                               burn2_bot2                               burn2_top3                               burn2_bot3                               burn2_top4                               burn2_bot4                                 coupling                          strong_coupling                           k_inner_strong                           k_outer_strong 
                                    2427                  5.3494659029140365E+008                  2.2999999999999998E+000                  4.7021445917861511E+003                  2.0921638576365237E+002                  2.1825526289978566E+001                  2.0921638576275674E+002                  2.2022919381983488E+001                  1.2997727014599417E+002                  8.7922725209286928E+007                  1.3399369167585054E+005                  1.4160232898363610E+021                  5.2535170388824870E+000                  1.3349152671969979E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  4.7214893187882185E-025                  0.0000000000000000E+000                  9.9525271677910787E-001                  6.3630315355100623E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8082808602146225E-004                  2.7676553613257791E-003                  1.2205744777946585E-004                  4.3431691820735099E-004                  1.1424254075579426E-003                  7.2876936329925945E-001                  2.2024451468641898E-017                  2.1801102966246969E-004                  2.6638940227563634E-001                  3.9435767503204929E-011                  4.8302058360597246E-032                  3.0396239606193807E-099                  4.7828859696995746E-004                  6.8521365730679856E-004                  1.8919692497450351E-003                  4.3010630137087046E-004                  1.1376455506130877E-003                  0.0000000000000000E+000                  3.1786271119481818E-001                  3.8066629971713610E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3151988668187404E+000                 -1.8814346085150910E+000                 -3.7214540967651732E+000                 -9.8999999999999986E+001                  1.1493810136587621E+000                 -7.8716677707542253E+000                 -9.4366570657995952E-001                  2.3149595135245220E+000                 -1.8814346085150910E+000                 -4.6855482673016198E+000                 -3.7713907336536185E+000                 -1.1563751956993883E+001                  1.9273816790992414E+005                  3.1927734854421735E-001                  9.4561759990830616E+000                  6.5145647796744495E+000                  0.0000000000000000E+000                  6.9346888892785605E+000                  5.6105036550711418E-002                  0.0000000000000000E+000                  6.9346888892785605E+000                  2.0069278110881283E+000                  6.8019595661412154E+001                  1.6590645134175247E+001                  2.3205956953370559E+000                  8.7922725209286928E+007                  7.9441011408009317E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1270843525822860E+000                  2.1151070396407590E+001                  3.8163901064999353E+000                  0.0000000000000000E+000                  6.5706698162251609E+000                                        0                  1.3801490355173926E-001                                        9                  1.5470920348437711E-001                                        3                  1.5591221464832919E-001                                        1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        1                  1.7441727660954718E-003                                        0                  1.3678829874443407E-001                                        1                  1.3703783725824101E-001                                        2                  1.3731584962848714E-001                                        3                  1.3760017757104578E-001                                        4                  1.3795866952045874E-001                                        5                  1.3843665878634270E-001                                        6                  1.3921089729101932E-001                                        5                  1.3986035270687258E-001                                        4                  1.4041112216237250E-001                                        3                  1.4094776932414155E-001                                        2                  1.4166800630441118E-001                                        1                  1.4250338668058871E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  3.2294558097345677E-001                  3.1648040841340530E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8789837779508736E-002                  9.8059117345774219E-003                  9.6300000000000000E+002                  9.1600000000000000E+002 
                                    2462                  5.3596622967743409E+008                  2.2999999999999998E+000                  4.6597500231184204E+003                  2.3709516897840265E+002                  2.3658921898801019E+001                  2.3709516897732306E+002                  2.3890688883047790E+001                  1.1044850556681230E+002                  9.3362991733178318E+007                  1.4691404162472649E+005                  1.6465753213900161E+021                  5.2461923408384878E+000                  1.3348795006644021E+000                  5.0000000000000011E-001                  4.9608192119979695E-032                  1.3220936539916916E-023                  1.0748117735055266E-048                  9.9537296216678317E-001                  8.6849308818250360E-026                  1.2350785669989717E-043                  0.0000000000000000E+000                  1.6060382623416344E-004                  2.7690391530227928E-003                  1.2202154692538099E-004                  4.3303807289749919E-004                  1.1423352341370970E-003                  7.2876102062219639E-001                  2.2060828570499986E-017                  2.1800442696285848E-004                  2.6639775563325663E-001                  3.9434488049746241E-011                  4.1638796004883545E-032                  3.1759295000863922E-099                  4.7827349658690867E-004                  6.8527888057760985E-004                  1.8919149972406715E-003                  4.3010631557106215E-004                  1.1376455881730711E-003                  5.8557050461588720E-003                  3.2411896705382059E-001                  3.7302518292147403E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3696236068324033E+000                 -9.1049223805911850E-001                 -3.1384163891076118E+000                 -9.8999999999999986E+001                  1.2038488832912746E+000                 -7.9766713742895723E+000                 -9.6240175499018399E-001                  2.3694213700886899E+000                 -9.1049223805911850E-001                 -4.0149736728051293E+000                 -3.2003346018218379E+000                 -1.1040120247980985E+001                  2.4920888892564704E+005                  3.2534919536644280E-001                  9.4462745408085329E+000                  1.1422016268285836E+002                  0.0000000000000000E+000                  6.9213625818298619E+000                  3.4464272676835606E-001                  0.0000000000000000E+000                  6.9213625818298619E+000                  1.7782237756250618E+000                  7.3228717634795274E+001                  1.4183045718840406E+001                  2.3749227049361568E+000                  9.3362991733177990E+007                  7.9701747598367252E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1670633064008911E+000                  2.1216581601987411E+001                  3.8179939304220505E+000                  0.0000000000000000E+000                  1.1456480540962671E+002                                        1                  2.5459587157212488E-003                                        3                  1.7628759806789795E-002                                        0                  1.4064855322572500E-001                                        9                  1.5510086283706825E-001                                        3                  1.5603313593214285E-001                                        1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        3                  2.9525579546389922E-005                                        2                  2.3126495245441685E-003                                        1                  5.8860407746506357E-003                                        0                  1.3967782475622958E-001                                        1                  1.3989360911245038E-001                                        2                  1.4011808456746322E-001                                        3                  1.4037934700148236E-001                                        4                  1.4068253499501471E-001                                        5                  1.4107486996772223E-001                                        6                  1.4189396300410706E-001                                        5                  1.4243767131274165E-001                                        4                  1.4291959458630377E-001                                        3                  1.4338739556613533E-001                                        2                  1.4406972656365957E-001                                        1                  1.4475038763778014E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  3.2871506754849866E-001                  3.2287249810340940E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3753739124462951E-002                  7.2118062027968204E-003                  9.5900000000000000E+002                  9.1000000000000000E+002 
                                    2476                  5.3632774897189713E+008                  2.2999999999999998E+000                  4.6471757552938016E+003                  2.4600216671286304E+002                  2.4229815497510973E+001                  2.4600216671232323E+002                  2.4472858943062192E+001                  1.0525622144885855E+002                  9.9508936359553248E+007                  1.4717219394551651E+005                  1.6893402487596198E+021                  4.9025249904616439E+000                  1.3349175290507882E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  2.1806240125767213E-023                  0.0000000000000000E+000                  9.9524490764788676E-001                  6.1221253704474017E-025                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8880690405435662E-004                  2.7685160848252783E-003                  1.2260187774213173E-004                  4.3290278760281910E-004                  1.1422646978888284E-003                  7.2876088934232075E-001                  2.2136763114976020E-017                  2.1800431322868403E-004                  2.6639788718429491E-001                  3.9434465961692380E-011                  3.7166519097187410E-032                  3.3181837756781699E-099                  4.7827323702825670E-004                  6.8527994718825720E-004                  1.8919140611446241E-003                  4.3010630778397222E-004                  1.1376455675759590E-003                  2.9191987416837487E-002                  3.2641701730116585E-001                  3.7061723023717526E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3853601051334214E+000                  2.6855039381725243E-001                 -2.2933111432722209E+000                 -9.8999999999999986E+001                  1.2196548825175191E+000                 -8.2650938777433183E+000                 -9.6535532169255789E-001                  2.3851663890236425E+000                  2.6855039381725243E-001                 -3.2211566686027955E+000                 -2.3478790281389741E+000                 -1.0329816471673194E+001                  2.6919895358492906E+005                  3.2764014033475408E-001                  9.4444818024218957E+000                  1.6153020613510873E+003                  0.0000000000000000E+000                  6.9211084342004696E+000                  3.1999359065664521E+000                  0.0000000000000000E+000                  6.9211084342004696E+000                  1.7157486974500102E+000                  7.9886634696569743E+001                  1.3540850726948031E+001                  2.3909389322540369E+000                  9.9508936359553248E+007                  7.9978620841363872E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1678257640996605E+000                  2.1227717129308630E+001                  3.8687696120371022E+000                  0.0000000000000000E+000                  1.6185019972576538E+003                                        1                  1.2692168442103257E-002                                        3                  4.3442715556213707E-002                                        0                  1.4162563942322515E-001                                        9                  1.5545691679405915E-001                                        3                  1.5624418563573211E-001                                        1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        4                  2.5976280249457266E-004                                        3                  3.3242694838125494E-003                                        2                  7.4331303629967425E-003                                        1                  1.1141842623843080E-002                                        0                  1.4072401923285183E-001                                        1                  1.4093364703041766E-001                                        2                  1.4115254258324450E-001                                        3                  1.4140894588382388E-001                                        4                  1.4168212859814822E-001                                        5                  1.4205769334705054E-001                                        6                  1.4287987563518839E-001                                        5                  1.4339622199971941E-001                                        4                  1.4386057962408844E-001                                        3                  1.4431079402741293E-001                                        2                  1.4497727466248911E-001                                        1                  1.4560731449715580E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  3.3087933313540341E-001                  3.2523145074246873E-001                  5.5663149095919271E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2492726624734827E-002                  6.8393771352323589E-003                  9.5600000000000000E+002                  9.0500000000000000E+002 
                                    2487                  5.3644972627518779E+008                  2.2999999999999998E+000                  4.6873846672488708E+003                  2.1900608987936937E+002                  2.2471172935282169E+001                  2.1900608992436585E+002                  2.2680370830349901E+001                  1.2255100784875196E+002                  1.1429532075579740E+008                  9.9520227022139283E+004                  1.0608573775014060E+021                  3.1491326742308359E+000                  1.3355383465394575E+000                  4.9999999999999994E-001                  0.0000000000000000E+000                  4.1453400603537325E-023                  0.0000000000000000E+000                  9.9315657383732758E-001                  9.1820454882770134E-025                  0.0000000000000000E+000                  6.2636517017473389E-068                  2.3765238651640283E-003                  2.7585089812729217E-003                  1.2804413633031556E-004                  4.3845177122519321E-004                  1.1418974086798645E-003                  7.2876089055090776E-001                  2.2062353346524576E-017                  2.1800431053969527E-004                  2.6639788601186865E-001                  3.9434465409387232E-011                  3.5750671666330789E-032                  3.3194888502510284E-099                  4.7827323088556846E-004                  6.8527995383151161E-004                  1.8919140378189296E-003                  4.3010630486307042E-004                  1.1376455598500770E-003                  1.7207355164309865E-001                  3.2718641751648680E-001                  3.8298595975510240E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2847431369742539E+000                  2.2511240004952588E+000                 -1.1032727243790653E-001                 -9.8999999999999986E+001                  1.1195227129786300E+000                 -6.1338228220095496E+000                 -8.1480404560818831E-001                  2.2843976673623767E+000                  2.2511240004952588E+000                 -1.2493330638899789E+000                 -1.4306469015108542E-001                 -8.8888210761892452E+000                  2.0036833288379770E+005                  3.2845927750330733E-001                  9.4552717132911344E+000                  1.1782041799477139E+005                  0.0000000000000000E+000                  6.9777465724316610E+000                  5.6738587427027232E+002                  0.0000000000000000E+000                  6.9777465724316610E+000                  1.9210568872602638E+000                  1.2005285623336029E+002                  1.5675591306140324E+001                  2.3404561914783581E+000                  1.1429532075579780E+008                  8.0580284507668107E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.9979113580455978E+000                  2.1025657000934718E+001                  4.2043861105868618E+000                  0.0000000000000000E+000                  1.1838780386904166E+005                                        1                  7.4814587670912466E-002                                        3                  9.3289284136737982E-002                                        0                  1.4217618821788625E-001                                        9                  1.5732620006825315E-001                                        3                  1.5852297264044307E-001                                        1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        6                  7.3522550924252268E-005                                        5                  3.7186361803796769E-003                                        4                  9.0792684922768110E-003                                        3                  1.4966760473262562E-002                                        2                  2.0881505822866346E-002                                        1                  2.6179267042495152E-002                                        0                  1.4115254258324539E-001                                        1                  1.4136147252254980E-001                                        2                  1.4158015373890254E-001                                        3                  1.4181629038859123E-001                                        4                  1.4210337014083685E-001                                        5                  1.4248136215897422E-001                                        6                  1.4320027517420564E-001                                        5                  1.4382871724522461E-001                                        4                  1.4437460600311214E-001                                        3                  1.4492055290631289E-001                                        2                  1.4585646188322871E-001                                        1                  1.4643831054367412E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  3.3206159380715788E-001                  3.2617746789375979E-001                  2.1075882829050041E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9357988750046094E-002                  1.1213281274894689E-002                  9.5300000000000000E+002                  9.0900000000000000E+002 
